id,channel name,type of channel,likes and follows,page creation date,description
139729956046003,"Grammarly
",Education Website,"7,059,293 people like this 6,954,213 people follow this","Page created - July 19, 2010","Improving lives by improving communication. Grammarly’s digital writing assistant helps more than 20 million people write clearly and effectively every day. Make your communication clear and effective, wherever you write. For more information, please visit  . 2009 Grammarly is an AI-powered digital writing assistant. Grammarly’s mission is to improve lives by improving communication. Its digital writing assistant helps more than 20 million people write more clearly and effec tively every day, providing feedback on correctness, clarity, engagement, and delivery. Grammarly works to empower users whenever and wherever they write—via a web editor, native desktop apps, an iPad app, browser extensions, mobile keyboards, and a Microsoft Office add-in. Grammarly was founded in 2009 and is headquartered in San Francisco, with additional offices in Kyiv, New York, and Vancouver.    For more information, visit "
315169062639636,"Test Ex
","Sex Therapist,Pharmacy / Drugstore",21 people like this 21 people follow this,"Page created - October 9, 2018","Testex er et komplett hurtigtestkitt for klamydia som gir deg profesjonell testing til hjemmebruk. Testen er 97% sikker og du kan teste deg i ditt eget hjem akkurat når du selv måtte ønske. Testkittet inneholder alt du trenger for å bekrefte om du har klamydia eller ikke, kommer helt anonymt og tar kun 15 minutter å utføre! Test deg helt komfortabelt hjemme som et alternativ til å tvinge deg selv til helsestasjon, lege, eller enda verre; å drøye hele testingen. Mange rapporterer at  de syntes det å dra og sjekke seg for klamydia kan være svært pinlig og en tidkrevende affære. Dette er noe alle kjenner til, så hvorfor utsette seg for det? Vi er et norsk team som har tatt tilbakemeldingene til etterretning og satt sammen et kitt som løser disse problemene en gang for alle!     Testex kittet inneholder:"
1525872817483381,"Doodly Official
",App Page,"Send Message 91,540 people like this","Confirmed Page Owner: BRYXEN, INC.",The Simplest Drag and Drop Doodle Video Creator.     Create Your Own Doodle Video in Just 60 Seconds
429607674151207,"""Hasbro, Inc.""
",Games/Toys,Send Message 194 people like this,"Page created - April 12, 2018",
314197722000030,"monday.com
",Software Company,"336,802 people like this 347,223 people follow this",Confirmed Page Owner: MONDAY.COM LTD,"Make teamwork click with   is a cloud-based Work OS, where teams create workflow apps in minutes to run their processes, projects, and everyday work. 2012  - 2017 Great User Experience Award - Awarded by FinancesOnline  - 2016 Expert's Choice Award  - Awarded by FinancesOnline  - 2016 Supreme Software Award  - Awarded by FinancesOnline"
349817191737134,"Vistaprint India
","Product/Service,Company","2,643,010 people like this 2,647,510 people follow this","Page created - March 23, 2012","Welcome to the official facebook page of Vistaprint India. Now you can create and customize your business products at affordable price with us at   For customer support please call on 022-6718-6718. We are here to help. Founded in 1995 Business Cards, Marketing Materials, Signs & Posters, Logo Design, Printed Clothing, Embroidered Clothing, Accessories, Invitations & Announcements, Labels & Stickers, Photo Calendars, Photo Gifts, Embroidered Bags Vistaprint N.V. (Nasdaq:VPRT) empowers more than 12 million micro businesses and consumers annually with affordable, professional options to make an impression. Vistaprint India, your one stop shop for all your printing needs. World Class Quality, On Time Delivery Everytime, Wide Range Of Designs, Equal Importance To Ev  With a unique business model supported by proprietary technologies, high-volume production facilities, and direct marketing expertise, Vistaprint offers a wide variety of products and services that micro businesses can use to expand their business. A global company, Vistaprint employs over 3,300 people, operates 25 localized websites globally and ships to more than 120 countries around the world. Vistaprint's broad range of products and services are easy to access online, 24 hours a day at  ery Order Size.     On our Facebook page, we will connect and interact with you about all things Vistaprint. We love sharing our products and our philosophy with our ever-growing fan and customer base.     Find out about our products at   or Contact Us at 022-6718 6718"
193863317737,"eToro
","Investment Management Company,Investing Service","2,031,177 people like this 2,034,089 people follow this",Confirmed Page Owner: eToro Group Ltd.,"January 2007 eToro empowers millions of users around the globe to trade and invest in a simple and transparent way. 2007 eToro Social Trading Platform To open the financial markets to every individual and make them accessible through a simple, transparent and more enjoyable way.Based on a wide range of innovat eToro is one of the most successful and innovative fintech companies in the world today, award-winning creator of the leading social trading platform, and trust Finovate Europe, Best of Show, 2011, 2015, 2017  British Israeli Business Awards, Most Promising Company, 2013/14  FinTech 50 – Game-changing technologies across  ive web-based and mobile trading platforms that appeal to every level of trading expertise, our investment network facilitates information exchange between investors, accelerates knowledge sharing and shortens the learning curve for those who want to bring their trading experience to the next level. ed by 10 million users in over 140 countries.    Risk Warning:  Investments may go up or down in value, so you may get less than you invested. Transacting in virtual currencies is subject to various risks such as price volatility, and is, therefore, not suitable for everyone. Your capital is at risk. AFSL 491139. High risk to capital. You may lose more than your initial investment. No financial advice provided. Copy trade at your own risk.  Risk Disclosure:     General Rules:  Be respectful. Don't post spam, use inappropriate language or harass people. We follow Facebook's rules:     eToro™ is owned by eToro Group Ltd. All names and logos displayed are owned by their respective organizations. eToro is not affiliated and/or endorsed by such organizations Europe, 2013  Star Awards, Best Trading Platform, 2013  Finovate Europe, Best of Show, 2012  World Finance Awards, Best Social Trading Network, 2012  Global Banking & Finance Review, Best Mobile Trading Platform, 2011  World Finance, Most Innovating Trading Platform, 2010"
118075261668462,"Dr. Squatch Soap Company
",Health/Beauty,"284,651 people like this 300,478 people follow this",Confirmed Page Owner: Dr Squatch Inc,"Natural, Invigorating, Manly Soap for Men who live the Squatch lifestyle.   Jack Haldrup and AJ Fountain Esquire Magazine Top 50 Must Have Men's Product All Natural Manly Soap Made in the USA Our mission doesn't stop with suds. We guarantee the same level of care and craftsmanship for our HAIR CARE, COLOGNES, BEARD OILS, SHAVE KIT and all the groomin Our Story    It all started with a simple gander at the ingredients in store bought soap.  This invoked a whole string of uncertainties and questions.  What the h g get up we stamp our name on. Maybe you’re not the “all natural” type of guy. Maybe you enjoy your generic brand name bar or like to rub down with liquid detergent every day. But the truth is, you’re not a dish, you’re a man, and as a man you have some skin in the game, and that skin craves natural, nourishing ingredients like the ones found in our products. Check out the complete Dr. Squatch product line up and turn your shower up a notch. eck is this stuff they’re putting in here?  Is it too much to ask to be able to pronounce the things we put on our body?      Thus Sasquatch Soap Co. was born.  The idea was to create soap, specifically for men, that was simple and natural.  Sasquatch was the perfect embodiment of this spirit.  So we went out and formed it, a quality handcrafted soap bar made with carefully chosen ingredients that benefit you.      We believe in transparency and trust in our relationships in business and life.  We are a small, home grown company with a big vision to impact others in positive and educative ways.  We truly value the good earth our ingredients come from and believe in experiencing and preserving it for years to come.  Just like Sasquatch who roams vast lands, we too enjoy exploring and pursuing an active life.  The wild forests, lakes, mountains, rivers, islands, and oceans are just as much a part of us as we are a part of them.  We believe in sustainability and responsibility of Sasquatch Soap’s impact from the soil to the skin and back again.      There are only 3 of us and we’re childhood friends and family.  Growing up in the same neighborhood we dreamed, from our early days at swim practices all the way through our shared high school marketing classes, to someday make a difference through originality and creativity.  As we grew and learned through other pursued life experiences we never let go of the dream.  Today we firmly believe our dream lives, in Sasquatch Soap’s ability to let men unleash their inner man, in all the glory of everyday adventure, independence and freedom.        Soap Making Process    We knew our soaps had to be made with care and individuality so we chose to use the wholesome ""Cold Process"" method for our soap bars.  Lye is mixed with water, our natural base oils, and butters.  The lye forms with the oils during the process and causes the oils to ""saponify"" or harden over time.  When the soap is completely cured, there is very little or no lye retained in the soap as it is removed during this process.    Cold Process means that our bars are saponified without added heat and take about 4-6 weeks to harden and cure before the soap is ready for use.  The bars are hand poured and hand cut in Indiana (where we grew up).  All of our bars contain a base of oils that have been thoughtfully chosen by us to combine into a bar that is cleansing, moisturizing, and invigorating: (Olive, Coconut, Hemp, Soy, Shea Butter).  In addition the bars may contain exfoliants such as oatmeal, peppermint leaves, or sea salt that give additional health benefits.    One of the biggest benefits of our soap making process vs. conventional soap or body wash is that it is true soap and not detergent.  This means that it is much better for your skin as it retains all of the vegetable glycerin that is often stripped in commercially made soaps to be used in other products such as moisturizers.  Each of our main ingredients has individual moisturizing properties, but through experimentation and research we’ve formed a foundation in our soaps that work interdependently.  Our ingredients complement each other and truly allow your skin to experience the natural moisturizing benefits throughout the day.  From start to finish our soap has been carefully made with a precise natural element of cleanliness in mind."
,"Moose Top TV Commercials
",,Send Message English (US),,
,"Roberto Gamboa
",,Roberto Gamboa See Photos,,
858660534290000,"Lil Baby Official 4PF
",Musician/Band,"532,806 people like this 1,561,206 people follow this","Page created - September 8, 2017",Stream 'My Turn' Deluxe: 
169884786533513,"Onewheel
",Outdoor & Sporting Goods Company,"155,658 people like this 158,484 people follow this","Page created - September 4, 2013",Carving machines for good times and epic adventures. Order at  A revolutionary new electric boardsport that allows you to carve the planet earth in ways never thought possible. 2013
801113639985410,"V Shred
","Fitness Trainer,Health/Beauty","8,608,480 people like this 8,705,466 people follow this",Confirmed Page Owner: V Shred,V Shred is a brand with many different fitness-related products and online personal training and meal plans that are guaranteed to get you your dream body.
9006277574,"CARFAX
",Internet Company,"Send Message 458,303 people like this","Confirmed Page Owner: Carfax, Inc","CARFAX started with a vision - to be the leading source of vehicle history information for buyers and sellers of used cars. Today, CARFAX has the most comprehensive vehicle history database available in North America. Used car listings. 🚗 Maintenance. 🔧 Vehicle history reports. 📋 Car research. 🔍 We help you shop, buy, service & sell used cars with confidence. CARFAX Vehicle History Report™  CARFAX History-Based Value  CARFAX Used Car Listings  myCARFAX CARFAX, the most trusted provider of vehicle history information, is used by millions of used car buyers and sellers each year. Every CARFAX Report contains inf ormation that can impact your decision about a used vehicle.  CARFAX Vehicle History Reports™ are available on all used cars and light trucks model year 1981 or later.     Some types of information that a CARFAX Report may include are:    Title information, including salvaged or junked titles   Flood damage history   Total loss accident history   Odometer readings   Lemon history   Number of owners   Accident indicators, such as airbag deployments   State emissions inspection results   Service records   Vehicle use (taxi, rental, lease, etc.)    CARFAX receives information from more than 36,000 data sources including every U.S. and Canadian provincial motor vehicle agency plus many auto auctions, fire and police departments, collision repair facilities, fleet management and rental agencies, and more."
,"St. Jude Children's Research Hospital
",,"Send Message 2,412,803 people like this",Confirmed Page Owner: St. Jude Children's Research Hospital,
,"Cadreon_Ajovy Cadreon_Ajovy
",,Cadreon Cadreon See Photos,,
7240312795,"The Motley Fool
",Business & Economy Website,"824,279 people like this 850,048 people follow this","Page created - November 30, 2007","Making the world smarter, happier, and richer. Making the world smarter, happier, and richer. The Motley Fool seeks to teach individual investors how to invest in a smart and strategic way. Our investing advice focuses on buying great stocks of great companies that will build wealth over the long term. The Motley Fool provides financial solutions for investors of every kind. Our products and services -- whether free or fee-based, online or offline -- are designed to help people take control of their financial lives. 1993"
,"ZEFRadvertising
",,,,
210501829351714,"Intuitive Inventions
",Organization,313 people like this 315 people follow this,"Page created - July 25, 2016","Green Holistic inventions, Designs and technologies which shall Heal Earth and Environment to bring a New Era of Clean,Green & Holistic advancements !!!"
370237404680,"505 Games
",Video Game,"128,145 people like this 129,112 people follow this","Page created - March 11, 2010","505 Games is a multi-platform interactive video game company that publishes titles across the globe.    Community House Rules -  Indie Games Label, MCV Awards 2015 505 Games is a global video game publisher focused on offering a broad selection of titles for players of all ages and levels. The company publishes games on al l leading console and handheld platforms as well as for mobile devices and social networks. Product highlights include, PAYDAY 2, Brothers – A Tale of Two Sons, Terraria, How to Survive, ABZU, ADR1FT, Assetto Corsa and Virginia.    505 Games has offices in Los Angeles, Milton Keynes (UK), Lyon, Munich, Milan, Madrid and Shenzhen (China) and a network of distribution partners within the Nordic territories and Australia.  For more information on 505 Games and its products please visit "
